"fqdn","ip","asn","ip_prefix","owner","cc"
"annulationclient8122.fr","","","","",""
"annulprime.fr","","","","",""
"assurance-renouvellement.fr","213.156.135.74","210403","213.156.135.0/24","LWS - Groupe LWS SARL, FR","FR"
"cornprime.fr","","","","",""
"critair-facile.fr","","","","",""
"dhlecommerce.fr","157.90.33.73","24940","157.90.0.0/16","HETZNER-AS - Hetzner Online GmbH, DE","DE"
"newsprime.fr","","","","",""
"outlook.pm","185.53.179.146","206834","185.53.179.0/24","TEAMINTERNET-CA-AS - Team Internet AG, DE","DE"
"reception-ar24.fr","185.135.132.103","210403","185.135.132.0/24","LWS - Groupe LWS SARL, FR","FR"
"vegashero-francias.fr","185.53.179.200","206834","185.53.179.0/24","TEAMINTERNET-CA-AS - Team Internet AG, DE","DE"
"virment-sepa-100-gratuit-j.fr","35.204.150.5","396982","35.204.144.0/20","GOOGLE-CLOUD-PLATFORM - Google LLC, US","US"
